股票代码,股票简称,行业编码,一级门类,二级门类,上市交易所,公司全程,上市日期,省份,城市,法人,地址,网址,邮箱,电话,主营业务,经营范围
cn_600519,贵州茅台,C15,制造业,酒、饮料和精制茶制造业,上海,贵州茅台酒股份有限公司,2001/8/27 0:00,贵州,遵义市,丁雄军,贵州省仁怀市茅台镇,www.moutaichina.com,mtdm@moutaichina.com,0851-22386002,贵州茅台酒系列产品的产品研制、酿造生产、包装和销售。,茅台酒系列产品的生产与销售；饮料、食品、包装材料的生产、销售；防伪技术开发、信息产业相关产品的研制、开发；酒店经营管理、住宿、餐饮、娱乐、洗浴及停车场管理服务(具体内容以工商核定登记为准)。
cn_300750,宁德时代,C38,制造业,电气机械和器材制造业,深圳,宁德时代新能源科技股份有限公司,2018/6/11 0:00,福建,宁德市,周佳,福建省宁德市蕉城区漳湾镇新港路2号,www.catl.com,CATL-IR@catl.com,0593-8901666,新能源汽车动力电池系统、储能系统的研发、生产和销售，以及锂电池回收利用业务。,锂离子电池、锂聚合物电池、燃料电池、动力电池、超大容量储能电池、超级电容器、电池管理系统及可充电电池包、风光电储能系统、相关设备仪器的开发、生产和销售及售后服务；对新能源行业的投资；锂电池及相关产品的技术服务、测试服务以及咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
cn_600660,福耀玻璃,C30,制造业,非金属矿物制品业,上海,福耀玻璃工业集团股份有限公司,1993/6/10 0:00,福建,福州市,曹德旺,福建省福清市融侨经济技术开发区福耀工业村,www.fuyaogroup.com,600660@fuyaogroup.com,0591-85383777,为各种交通运输工具提供安全玻璃全解决方案，包括汽车级浮法玻璃、汽车玻璃、机车玻璃相关的设计、生产、销售及服务,生产汽车玻璃，装饰玻璃和其它工业技术玻璃及玻璃安装，售后服务；开发和生产经营特种优质浮法玻璃，包括超薄玻璃、薄玻璃、透明玻璃、着色彩色玻璃；并统一协调管理集团内各成员公司的经营活动和代购代销成员公司的原辅材料和产品；协助所属企业招聘人员、提供技术培训及咨询等有关业务；生产玻璃塑胶包边总成，塑料、橡胶制品；包装木料加工；纸箱、纸板、铁架、可循环使用的包装金属支撑架、包括托盘等玻璃安装用的材料的销售。国家禁止外商投资的行业除外，国家限制外商投资的行业或有特殊规定的，须依法履行相关程序。（涉及审批许可项目的，只允许在审批许可的范围和有效期限内从事生产经营）。
cn_000651,格力电器,C38,制造业,电气机械和器材制造业,深圳,珠海格力电器股份有限公司,1996/11/18 0:00,广东,珠海市,董明珠,广东省珠海市珠海横琴新区汇通三路108号办公608,www.gree.com.cn,gree@gree.com.cn,0756-8614883,空调、干衣机等家用电器。,货物、技术的进出口（法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营）；研发、制造、销售：泵、阀门、压缩机及类似机械，风机、包装设备等通用设备；电机、输配电及控制设备；电线、电缆、光缆及电工器材；家用制冷电器具，家用空气调节器及相关零部件；中央空调、制冷、空调设备、洁净空调、采暖设备、通风设备；空气源热泵热风机、热泵热水机、空调热水一体产品、燃气采暖热水炉设备、燃气供暖热水设备、热能节能设备、机电设备产品及相关零部件；新风及新风除霾设备；通讯终端设备及相关零部件；气体，液体分离及纯净设备及相关零部件；家用清洁卫生电器具、家用厨房电器具、家用通风电器具、其它家用电力器具及相关零部件；厨房用具、不锈钢制品、日用五金；炊具及配件、餐具及配件技术研发、制造、销售；建筑机电设备安装工程、泳池水处理、中央热水工程；新能源发电产品、储能系统及充电桩；电源、变流器、逆变器电力产品；直流电器及设备；节能产品、照明灯具制造、节能工程；电工仪器仪表；工业自动控制系统装置；能源信息集成管理系统；销售、安装及维护：中央空调、制冷、空调设备、洁净空调、采暖设备、通风设备；空气源热泵热风机、热泵热水机、空调热水一体产品、燃气采暖热水炉设备、燃气供暖热水设备、热能节能设备、新风及新风除霾设备。批发：机械设备、五金交电及电子产品；零售：家用电器及电子产品。
cn_600887,伊利股份,C14,制造业,食品制造业,上海,内蒙古伊利实业集团股份有限公司,1996/3/12 0:00,内蒙古,呼和浩特市,潘刚,内蒙古自治区呼和浩特市金山开发区金山大街1号,www.yili.com,info@yili.com,0471-3602359,乳制品（含婴幼儿配方乳粉）制造，食品、饮料加工。,乳制品（含婴幼儿配方乳粉）制造；食品、饮料加工；牲畜，家禽饲养；汽车货物运输；饮食服务（仅限集体食堂）；本企业产的乳制品、食品，饮料；乳制品及乳品原料；预包装食品的销售。农畜产品及饲料加工，经销食品、饮料加工设备、生产销售包装材料及包装用品、五金工具、化工产品（专营除外）、农副产品，日用百货，畜禽产品，饲料；进口：本企业生产、科研所需的原辅材料，机械设备，仪器仪表及零配件；经营本企业自产产品及相关技术的出口业务；机器设备修理劳动（除专营）和设备备件销售（除专营）业务；玩具的生产与销售；复配食品添加剂的制造和销售（取得许可证后方可经营）；特殊医学用途配方食品的生产、销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
cn_002230,科大讯飞,I65,信息传输、软件和信息技术服务业,软件和信息技术服务业,深圳,科大讯飞股份有限公司,2008/5/12 0:00,安徽,合肥市,刘庆峰,安徽省合肥市高新开发区望江西路666号,www.iflytek.com,xunfei@iflytek.com,0551-67892230,人工智能技术研究、软件及芯片产品开发、知识服务,许可经营项目：增值电信业务，专业技术人员培训。一般经营项目：计算机软、硬件开发、生产和销售及技术服务；系统工程、信息服务；电子产品、计算机通信设备研发、生产、销售；图书批发、零售、电子出版物批发、零售；进出口业务（国家限定和禁止经营的除外）；安全技术防范工程；房屋租赁、物业管理服务；设计、制作、代理、发布广告；进网产品的研发、销售。
cn_002049,紫光国微,C39,制造业,计算机、通信和其他电子设备制造业,深圳,紫光国芯微电子股份有限公司,2005/6/6 0:00,河北,唐山市,马道杰,河北省玉田县无终西街3129号,www.gosinoic.com,zhengquan@gosinoic.com,0315-6198161,集成电路芯片设计开发、销售及技术服务。,集成电路设计、开发、销售与技术服务；高亮度发光二极管（LED）衬底材料开发、生产、销售；生产和销售压电石英晶体器件；经营本企业自产产品及技术的出口业务；经营本企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术的进口业务（国家限定公司经营和禁止进出口的商品除外）；经营进料加工和“三来一补”业务。
cn_002594,比亚迪,C36,制造业,汽车制造业,深圳,比亚迪股份有限公司,2011/6/30 0:00,广东,深圳市,王传福,广东省深圳市大鹏新区葵涌街道延安路一号,www.byd.com,db@byd.com,0755-89888888,二次充电电池业务、手机部件及组装业务，以及包含传统燃油汽车及新能源汽车在内的汽车业务,锂离子电池以及其他电池、充电器、电子产品、仪器仪表、柔性线路板、五金制品、液晶显示器、手机零配件、模具、塑胶制品及其相关附件的生产、销售；3D眼镜、GPS导航产品的研发、生产及销售；货物及技术进出口（不含分销、国家专营专控商品）；作为比亚迪汽车有限公司比亚迪品牌乘用车、电动车的总经销商，从事上述品牌的乘用车、电动车及其零部件的营销、批发和出口，提供售后服务；电池管理系统、换流柜、逆变柜/器、汇流箱、开关柜、储能机组的销售；汽车电子装置研发、销售；新能源汽车关键零部件研发以及上述零部件的关键零件、部件的研发、销售；轨道交通运输设备（含轨道交通车辆、工程机械、各类机电设备、电子设备及零部件、电子电气件、轨道交通信号系统、通信及综合监控系统与设备）的研发、设计、销售、租赁与售后服务（不涉及国营贸易管理商品，涉及配额、许可证管理及其他专项管理的商品，按国家有关规定办理申请）；轨道梁柱的研发、设计、销售；自有物业租赁（物业位于大鹏新区葵涌街道延安路一号比亚迪工业园内及龙岗区龙岗街道宝龙工业城宝荷路3001号比亚迪工业园内）；广告设计、制作、代理及发布；信息与技术咨询、技术服务。
cn_600088,中视传媒,R86,文化、体育和娱乐业,广播、电视、电影和影视录音制作业,上海,中视传媒股份有限公司,1997/6/16 0:00,上海,上海市,唐世鼎,上海市中国(上海)自由贸易试验区福山路450号新天国际大厦17层A座,www.ctv-media.com.cn,irmanager@ctv-media.com.cn,021-68765168,为剧组提供拍摄场地及服务、并对中外旅客提供旅游服务；设计，制作，发布，代理各类广告业务，文化经纪。,影视拍摄基地开发、经营，影视拍摄（摄制电影［单片］），电视剧节目制作、销售经营，影视设备租赁、高清晰度影视技术、宽带数字信息技术、网络系统集成技术的开发及相关的信息服务，设计、制作、发布、代理各类广告业务，文化（含演出）经纪，房地产开发，科学技术服务，室内外装饰，物业管理，实业投资、投资咨询，综合文艺表演，百货、工艺美术品（黄金制品除外）的销售，国内贸易（除专项规定），摄影服务，以下限分支机构经营：市内水上旅游客运（三国城、水浒城水上景区），零售预包装食品，小型餐馆，住宿，卷烟、雪茄烟零售，停车场经营。【企业经营涉及行政许可的，凭许可证件经营】
cn_600029,南方航空,G56,交通运输、仓储和邮政业,航空运输业,上海,中国南方航空股份有限公司,2003/7/25 0:00,广东,广州市,马须伦,广东省广州市黄埔区玉岩路12号冠昊科技园区一期办公楼3楼301室,www.csair.com,ir@csair.com,020-86123303,提供国内、香港地区及国际航空客运、货运及邮运服务。,（1）提供国内、地区和国际定期及不定期航空客、货、邮、行李运输服务；（2）提供通用航空服务；（3）提供航空器维修服务；（4）经营国内外航空公司的代理业务；（5）提供航空配餐服务；（6）进行其他航空业务及相关业务（限保险兼业代理业务：人身意外伤害险）；（7）航空地面延伸服务；（8）航空培训；（9）资产租赁；（10）工程管理与技术咨询；（11）航材销售；（12）旅游代理服务；（13）商品零售批发（以上各项最终以公司登记机关核定为准）。
