序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
1,cn_600519,贵州茅台,1804.21,1819.94,0.87
2,cn_300750,宁德时代,639.0,634.09,-1.97
3,cn_300896,爱美客,572.0,564.0,-1.5
4,cn_600436,片仔癀,411.92,419.5,2.23
5,cn_002594,比亚迪,324.0,314.0,-3.38
6,cn_300782,卓胜微,317.0,313.91,0.5
7,cn_000661,长春高新,282.26,285.85,1.47
8,cn_002049,紫光国微,223.8,216.66,-2.58
9,cn_300454,深信服,199.01,202.52,0.99
10,cn_688363,华熙生物,169.93,168.22,-1.11
11,cn_300122,智飞生物,131.0,132.82,-0.51
12,cn_603259,药明康德,126.95,126.4,-0.07
13,cn_603288,海天味业,122.55,123.46,-0.05
14,cn_600745,闻泰科技,120.18,116.8,-0.17
15,cn_300033,同花顺,112.11,112.95,0.73
16,cn_600309,万华化学,103.22,100.56,-2.63
17,cn_002179,中航光电,94.0,92.93,-1.01
18,cn_601012,隆基股份,89.01,90.0,-2.7
19,cn_000538,云南白药,90.2,89.32,-0.72
20,cn_601100,恒立液压,85.01,88.59,4.53
21,cn_000333,美的集团,70.31,70.75,0.04
22,cn_603899,晨光文具,66.25,65.58,-1.1
23,cn_002230,科大讯飞,58.27,57.95,-0.26
24,cn_688981,中芯国际,57.39,57.27,0.77
25,cn_002032,苏泊尔,55.47,55.31,-1.64
26,cn_600276,恒瑞医药,51.25,51.81,1.17
27,cn_600036,招商银行,51.72,51.56,-0.37
28,cn_002415,海康威视,50.5,51.48,1.5
29,cn_600660,福耀玻璃,51.5,51.0,0.39
30,cn_300015,爱尔眼科,47.5,48.49,1.98
31,cn_300413,芒果超媒,42.9,45.8,4.93
32,cn_600612,老凤祥,45.85,45.66,-0.74
33,cn_603005,晶方科技,44.35,43.86,-0.07
34,cn_301024,霍普股份,42.55,43.26,1.86
35,cn_600887,伊利股份,42.54,43.24,0.89
36,cn_603719,良品铺子,44.0,43.01,-2.69
37,cn_002142,宁波银行,37.75,37.3,-1.48
38,cn_688003,天准科技,36.82,36.89,-0.11
39,cn_000651,格力电器,36.3,36.36,-0.16
40,cn_002138,顺络电子,36.16,36.29,0.64
41,cn_002223,鱼跃医疗,36.25,35.05,-3.12
42,cn_002080,中材科技,38.47,34.81,-10.01
43,cn_300059,东方财富,32.41,32.73,0.49
44,cn_600588,用友网络,32.02,31.99,0.69
45,cn_603535,嘉诚国际,31.19,31.58,1.25
46,cn_000063,中兴通讯,31.54,31.3,-1.17
47,cn_600511,国药股份,30.69,30.84,0.33
48,cn_600859,王府井,29.31,29.35,-0.1
49,cn_603019,中科曙光,28.45,28.84,1.37
50,cn_300876,蒙泰高新,27.6,27.86,0.72
51,cn_002555,三七互娱,25.28,25.61,1.55
52,cn_002158,汉钟精机,25.62,25.43,-0.93
53,cn_600030,中信证券,25.3,25.36,-0.31
54,cn_000915,华特达因,25.26,25.15,-0.44
55,cn_002088,鲁阳节能,25.58,23.99,-5.55
56,cn_600031,三一重工,22.59,23.0,1.72
57,cn_603353,和顺石油,22.34,21.99,-1.61
58,cn_300418,昆仑万维,21.1,21.89,1.02
59,cn_000301,东方盛虹,23.28,21.5,-7.53
60,cn_002156,通富微电,21.08,20.43,-0.97
61,cn_002189,中光学,19.68,20.34,2.37
62,cn_002202,金风科技,20.79,20.1,-2.24
63,cn_601166,兴业银行,18.04,18.14,-0.49
64,cn_603105,芯能科技,19.78,17.98,-10.01
65,cn_002254,泰和新材,18.21,17.91,-1.16
66,cn_000567,海德股份,18.32,17.9,-2.51
67,cn_000002,万科Ａ,18.0,17.82,-1.33
68,cn_002039,黔源电力,18.83,17.52,-7.5
69,cn_600956,新天绿能,17.27,16.42,-5.9
70,cn_002438,江苏神通,16.89,15.82,-3.24
71,cn_002362,汉王科技,15.38,15.76,2.47
72,cn_600926,杭州银行,14.37,14.3,-0.69
73,cn_300149,睿智医药,14.32,14.19,-0.91
74,cn_002056,横店东磁,14.1,14.18,0.07
75,cn_000668,荣丰控股,13.77,13.95,1.31
76,cn_002185,华天科技,14.02,13.91,5.62
77,cn_600998,九州通,13.45,13.61,1.26
78,cn_002163,海南发展,14.03,13.59,-3.14
79,cn_300746,汉嘉设计,13.9,13.4,-3.94
80,cn_601360,三六零,12.31,12.26,-0.65
81,cn_002091,江苏国泰,12.55,12.17,-3.72
82,cn_600151,航天机电,11.76,12.0,0.84
83,cn_600380,健康元,11.89,11.73,-1.26
84,cn_002090,金智科技,10.78,11.31,10.02
85,cn_002416,爱施德,11.34,11.2,-1.75
86,cn_601236,红塔证券,11.25,11.19,-0.71
87,cn_601198,东兴证券,11.21,11.11,-0.98
88,cn_002736,国信证券,11.01,10.99,-0.72
89,cn_002152,广电运通,10.57,10.63,0.57
90,cn_002064,华峰化学,11.2,10.38,-7.07
91,cn_002473,*ST圣莱,10.26,10.26,5.02
92,cn_000885,城发环境,10.18,10.21,0.2
