序号,股票代码,股票名称,开盘价,收盘价,涨跌幅
1,cn_601199,江南水务,4.2,4.48,9.8
2,cn_600029,南方航空,6.63,6.88,6.83
3,cn_000567,海德股份,18.05,19.03,6.31
4,cn_002473,*ST圣莱,10.39,10.77,4.97
5,cn_000669,ST金鸿,2.26,2.35,4.91
6,cn_300750,宁德时代,637.0,660.8,4.21
7,cn_002091,江苏国泰,12.12,12.65,3.94
8,cn_300117,嘉寓股份,4.17,4.3,3.86
9,cn_300418,昆仑万维,21.71,22.6,3.24
10,cn_002418,康盛股份,3.12,3.22,3.21
11,cn_002066,瑞泰科技,9.06,9.34,3.2
12,cn_002147,*ST新光,4.99,5.18,2.98
13,cn_000002,万科Ａ,18.38,18.31,2.75
14,cn_002027,分众传媒,7.4,7.63,2.69
15,cn_002158,汉钟精机,25.22,26.09,2.6
16,cn_002325,洪涛股份,2.37,2.45,2.51
17,cn_601618,中国中冶,3.73,3.8,2.43
18,cn_600874,创业环保,6.38,6.42,2.39
19,cn_600393,ST粤泰,1.31,1.34,2.29
20,cn_600678,四川金顶,5.35,5.43,2.26
21,cn_603105,芯能科技,17.49,18.38,2.22
22,cn_002102,ST冠福,3.8,3.88,2.11
23,cn_600859,王府井,29.36,29.94,2.01
24,cn_000425,徐工机械,6.05,6.14,1.99
25,cn_600722,金牛化工,5.59,5.66,1.98
26,cn_000757,浩物股份,4.05,4.14,1.97
27,cn_002377,国创高新,3.12,3.12,1.96
28,cn_000885,城发环境,10.23,10.41,1.96
29,cn_002856,美芝股份,10.26,10.39,1.96
30,cn_601012,隆基股份,88.98,91.7,1.89
31,cn_601139,深圳燃气,9.08,9.19,1.88
32,cn_601368,绿城水务,4.81,4.9,1.87
33,cn_600088,中视传媒,9.63,9.78,1.87
34,cn_002163,海南发展,13.61,13.84,1.84
35,cn_300059,东方财富,32.78,33.32,1.8
36,cn_300896,爱美客,569.9,573.9,1.76
37,cn_002357,富临运业,4.69,4.77,1.71
38,cn_000601,韶能股份,4.77,4.84,1.68
39,cn_002088,鲁阳节能,24.33,24.39,1.67
40,cn_002097,山河智能,7.88,8.05,1.64
41,cn_002118,紫鑫药业,2.56,2.6,1.56
42,cn_002068,黑猫股份,5.78,5.87,1.56
43,cn_601198,东兴证券,11.04,11.28,1.53
44,cn_300746,汉嘉设计,13.45,13.6,1.49
45,cn_300184,力源信息,6.13,6.28,1.45
46,cn_002064,华峰化学,10.2,10.53,1.45
47,cn_002162,悦心健康,4.33,4.39,1.39
48,cn_002416,爱施德,11.28,11.35,1.34
49,cn_300024,机器人,9.63,9.84,1.34
50,cn_000563,陕国投Ａ,3.08,3.12,1.3
51,cn_300876,蒙泰高新,27.85,28.2,1.22
52,cn_601390,中国中铁,5.14,5.17,1.17
53,cn_002323,*ST雅博,5.2,5.26,1.15
54,cn_600665,天地源,2.65,2.67,1.14
55,cn_600436,片仔癀,420.0,424.3,1.14
56,cn_600917,重庆燃气,8.25,8.3,1.1
57,cn_600692,亚通股份,5.41,5.51,1.1
58,cn_300030,阳普医疗,8.3,8.37,1.09
59,cn_600864,哈投股份,5.55,5.63,1.08
60,cn_002225,濮耐股份,4.17,4.19,0.96
61,cn_601099,太平洋,3.16,3.19,0.95
62,cn_002177,御银股份,5.58,5.62,0.9
63,cn_000668,荣丰控股,13.85,14.07,0.86
64,cn_600017,日照港,2.6,2.61,0.77
65,cn_600098,广州发展,6.65,6.6,0.76
66,cn_002206,海利得,6.61,6.73,0.75
67,cn_600901,江苏租赁,5.39,5.45,0.74
68,cn_300013,新宁物流,4.04,4.08,0.74
69,cn_600707,彩虹股份,6.89,6.92,0.73
70,cn_002049,紫光国微,214.59,218.25,0.73
71,cn_002057,中钢天源,7.79,7.83,0.64
72,cn_601236,红塔证券,11.24,11.26,0.63
73,cn_600657,信达地产,3.16,3.17,0.63
74,cn_300454,深信服,202.0,203.8,0.63
75,cn_002682,龙洲股份,3.36,3.37,0.6
76,cn_002109,兴化股份,4.99,5.03,0.6
77,cn_300033,同花顺,112.45,113.6,0.58
78,cn_600769,祥龙电业,5.18,5.21,0.58
79,cn_002179,中航光电,92.0,93.47,0.58
80,cn_002218,拓日新能,6.9,6.93,0.58
81,cn_002056,横店东磁,14.2,14.26,0.56
82,cn_002736,国信证券,10.99,11.05,0.55
83,cn_002230,科大讯飞,58.11,58.26,0.53
84,cn_601975,招商南油,1.91,1.92,0.52
85,cn_002555,三七互娱,26.16,25.73,0.47
86,cn_000421,南京公用,4.48,4.5,0.45
87,cn_000736,中交地产,4.81,4.83,0.42
88,cn_000582,北部湾港,7.54,7.57,0.4
89,cn_600106,重庆路桥,2.52,2.53,0.4
90,cn_002492,恒基达鑫,5.12,5.14,0.39
91,cn_600030,中信证券,25.27,25.46,0.39
92,cn_601000,唐山港,2.61,2.62,0.38
93,cn_002542,中化岩土,2.7,2.7,0.37
94,cn_603353,和顺石油,22.0,22.07,0.36
95,cn_002314,南山控股,2.75,2.76,0.36
96,cn_002081,金螳螂,5.62,5.64,0.36
97,cn_600797,浙大网新,6.16,6.2,0.32
98,cn_002594,比亚迪,308.09,315.0,0.32
99,cn_002208,合肥城建,6.99,7.05,0.28
100,cn_603167,渤海轮渡,7.65,7.64,0.26
101,cn_002452,长高集团,7.99,8.01,0.25
102,cn_600409,三友化工,8.6,8.62,0.23
103,cn_000759,中百集团,4.65,4.65,0.22
104,cn_600956,新天绿能,16.19,16.45,0.18
105,cn_601158,重庆水务,6.13,6.09,0.16
106,cn_601186,中国铁建,7.25,7.22,0.14
107,cn_603066,音飞储存,7.45,7.43,0.13
108,cn_600612,老凤祥,45.6,45.7,0.09
109,cn_301024,霍普股份,43.18,43.29,0.07
110,cn_600519,贵州茅台,1820.0,1820.1,0.01
111,cn_002264,新华都,3.91,3.92,0
112,cn_000560,我爱我家,2.84,2.86,0
113,cn_000667,美好置业,1.56,1.56,0
114,cn_600807,济南高新,3.1,3.08,0
115,cn_600012,皖通高速,5.83,5.81,0
116,cn_002116,中国海诚,6.03,6.03,0
117,cn_002062,宏润建设,3.81,3.82,0
118,cn_002076,ST雪莱,1.82,1.82,0
119,cn_002092,中泰化学,9.6,9.57,0
120,cn_600745,闻泰科技,116.37,116.8,0
121,cn_600019,宝钢股份,6.45,6.41,0
122,cn_600028,中国石化,4.13,4.09,0
123,cn_603535,嘉诚国际,31.58,31.56,-0.06
124,cn_600309,万华化学,99.88,100.49,-0.07
125,cn_002039,黔源电力,17.41,17.5,-0.11
126,cn_002270,华明装备,8.63,8.73,-0.11
127,cn_002187,广百股份,8.14,8.13,-0.12
128,cn_002080,中材科技,34.18,34.76,-0.14
129,cn_002142,宁波银行,37.28,37.24,-0.16
130,cn_600829,人民同泰,5.69,5.7,-0.18
131,cn_600380,健康元,11.69,11.7,-0.26
132,cn_601009,南京银行,9.41,9.41,-0.32
133,cn_002107,沃华医药,6.17,6.16,-0.32
134,cn_601988,中国银行,3.04,3.03,-0.33
135,cn_000301,东方盛虹,21.3,21.43,-0.33
136,cn_601166,兴业银行,18.14,18.07,-0.39
137,cn_601668,中国建筑,4.61,4.58,-0.43
138,cn_000333,美的集团,70.63,70.44,-0.44
139,cn_002152,广电运通,10.5,10.58,-0.47
140,cn_000063,中兴通讯,31.12,31.15,-0.48
141,cn_600886,国投电力,9.98,9.96,-0.5
142,cn_600036,招商银行,51.32,51.3,-0.5
143,cn_600998,九州通,13.61,13.54,-0.51
144,cn_002285,世联行,3.58,3.57,-0.56
145,cn_002032,苏泊尔,55.31,55.0,-0.56
146,cn_000046,泛海控股,1.74,1.73,-0.57
147,cn_000915,华特达因,25.14,25.0,-0.6
148,cn_601398,工商银行,4.65,4.63,-0.64
149,cn_000705,浙江震元,6.91,6.89,-0.72
150,cn_600588,用友网络,32.15,31.76,-0.72
151,cn_002415,海康威视,51.77,51.05,-0.84
152,cn_002362,汉王科技,15.61,15.62,-0.89
153,cn_600926,杭州银行,14.12,14.17,-0.91
154,cn_000651,格力电器,36.01,36.01,-0.96
155,cn_002061,浙江交科,5.12,5.07,-0.98
156,cn_002423,中粮资本,8.07,8.0,-0.99
157,cn_600031,三一重工,23.01,22.76,-1.04
158,cn_688363,华熙生物,167.27,166.39,-1.09
159,cn_300240,飞力达,6.88,6.76,-1.17
160,cn_002204,大连重工,4.2,4.21,-1.17
