序号,股票代码,股票名称,收盘价
1,cn_600519,贵州茅台,1820.1
2,cn_300750,宁德时代,660.8
3,cn_300896,爱美客,573.9
4,cn_600436,片仔癀,424.3
5,cn_002594,比亚迪,315.0
6,cn_300782,卓胜微,307.0
7,cn_000661,长春高新,275.81
8,cn_002049,紫光国微,218.25
9,cn_300454,深信服,203.8
10,cn_688363,华熙生物,166.39
11,cn_300122,智飞生物,127.85
12,cn_603259,药明康德,122.9
13,cn_603288,海天味业,120.05
14,cn_600745,闻泰科技,116.8
15,cn_600309,万华化学,100.49
16,cn_601012,隆基股份,91.7
17,cn_000538,云南白药,88.03
18,cn_000333,美的集团,70.44
19,cn_603899,晨光文具,64.33
20,cn_002230,科大讯飞,58.26
21,cn_688981,中芯国际,56.01
22,cn_002032,苏泊尔,55.0
23,cn_600036,招商银行,51.3
24,cn_002415,海康威视,51.05
25,cn_600276,恒瑞医药,49.62
26,cn_600660,福耀玻璃,49.26
27,cn_300015,爱尔眼科,47.7
28,cn_600612,老凤祥,45.7
29,cn_300413,芒果超媒,44.95
30,cn_603005,晶方科技,42.94
31,cn_600887,伊利股份,42.5
32,cn_002142,宁波银行,37.24
33,cn_000651,格力电器,36.01
34,cn_688003,天准科技,36.0
35,cn_002223,鱼跃医疗,34.44
36,cn_300059,东方财富,33.32
37,cn_600588,用友网络,31.76
38,cn_000063,中兴通讯,31.15
39,cn_600511,国药股份,29.96
40,cn_603019,中科曙光,28.5
41,cn_002555,三七互娱,25.73
42,cn_600030,中信证券,25.46
43,cn_600031,三一重工,22.76
44,cn_300418,昆仑万维,22.6
45,cn_603105,芯能科技,18.38
46,cn_000002,万科Ａ,18.31
47,cn_601166,兴业银行,18.07
48,cn_002362,汉王科技,15.62
49,cn_601360,三六零,12.06
50,cn_600088,中视传媒,9.78
51,cn_002027,分众传媒,7.63
52,cn_600905,三峡能源,6.96
53,cn_002218,拓日新能,6.93
54,cn_600029,南方航空,6.88
55,cn_600019,宝钢股份,6.41
56,cn_600797,浙大网新,6.2
57,cn_000425,徐工机械,6.14
58,cn_601398,工商银行,4.63
59,cn_601668,中国建筑,4.58
60,cn_600028,中国石化,4.09
