60,,
股票名称,股票代码,评分
中国石化,cn_600028,8
三峡能源,cn_600905,7
万科Ａ,cn_000002,7
中国建筑,cn_601668,7
南方航空,cn_600029,7
招商银行,cn_600036,6.9
兴业银行,cn_601166,7.5
中信证券,cn_600030,8.5
工商银行,cn_601398,7
宁波银行,cn_002142,6
东方财富,cn_300059,7.1
药明康德,cn_603259,8.5
国药股份,cn_600511,6.5
爱尔眼科,cn_300015,7.6
中视传媒,cn_600088,6
芒果超媒,cn_300413,7.2
浙大网新,cn_600797,6.9
用友网络,cn_600588,8.1
三六零,cn_601360,7.5
科大讯飞,cn_002230,8.1
深信服,cn_300454,7.6
三七互娱,cn_002555,7.6
昆仑万维,cn_300418,7
贵州茅台,cn_600519,4.7
福耀玻璃,cn_600660,6
伊利股份,cn_600887,7
海天味业,cn_603288,8
中科曙光,cn_603019,8
恒瑞医药,cn_600276,7.3
中芯国际,cn_688981,8.5
天准科技,cn_688003,8
三一重工,cn_600031,8.5
芯能科技,cn_603105,8.6
隆基股份,cn_601012,8.5
万华化学,cn_600309,7
晨光文具,cn_603899,8.5
宝钢股份,cn_600019,6.5
华熙生物,cn_688363,8.8
晶方科技,cn_603005,8
闻泰科技,cn_600745,7.6
老凤祥,cn_600612,7.9
片仔癀,cn_600436,8.3
宁德时代,cn_300750,8
格力电器,cn_000651,8.3
紫光国微,cn_002049,7.8
比亚迪,cn_002594,7.8
徐工机械,cn_000425,8.6
拓日新能,cn_002218,7.8
苏泊尔,cn_002032,7.8
长春高新,cn_000661,7
美的集团,cn_000333,8.5
海康威视,cn_002415,9.3
中兴通讯,cn_000063,6.6
智飞生物,cn_300122,8
爱美客,cn_300896,6.7
云南白药,cn_000538,6.8
卓胜微,cn_300782,8.2
鱼跃医疗,cn_002223,7.7
汉王科技,cn_002362,7.5
分众传媒,cn_002027,6.7
