序号,股票代码,股票名称,评分
1,海康威视,cn_002415,9.3
2,华熙生物,cn_688363,8.8
3,芯能科技,cn_603105,8.6
4,徐工机械,cn_000425,8.6
5,中信证券,cn_600030,8.5
6,药明康德,cn_603259,8.5
7,中芯国际,cn_688981,8.5
8,三一重工,cn_600031,8.5
9,隆基股份,cn_601012,8.5
10,晨光文具,cn_603899,8.5
11,美的集团,cn_000333,8.5
12,片仔癀,cn_600436,8.3
13,格力电器,cn_000651,8.3
14,卓胜微,cn_300782,8.2
15,用友网络,cn_600588,8.1
16,科大讯飞,cn_002230,8.1
17,海天味业,cn_603288,8
18,中科曙光,cn_603019,8
19,天准科技,cn_688003,8
20,晶方科技,cn_603005,8
21,宁德时代,cn_300750,8
22,中国石化,cn_600028,8
23,智飞生物,cn_300122,8
24,老凤祥,cn_600612,7.9
25,紫光国微,cn_002049,7.8
26,比亚迪,cn_002594,7.8
27,拓日新能,cn_002218,7.8
28,苏泊尔,cn_002032,7.8
29,鱼跃医疗,cn_002223,7.7
30,闻泰科技,cn_600745,7.6
31,深信服,cn_300454,7.6
32,三七互娱,cn_002555,7.6
33,爱尔眼科,cn_300015,7.6
34,兴业银行,cn_601166,7.5
35,三六零,cn_601360,7.5
36,汉王科技,cn_002362,7.5
37,恒瑞医药,cn_600276,7.3
38,芒果超媒,cn_300413,7.2
39,东方财富,cn_300059,7.1
40,工商银行,cn_601398,7
41,万华化学,cn_600309,7
42,伊利股份,cn_600887,7
43,中国建筑,cn_601668,7
44,长春高新,cn_000661,7
45,三峡能源,cn_600905,7
46,南方航空,cn_600029,7
47,昆仑万维,cn_300418,7
48,万科Ａ,cn_000002,7
49,招商银行,cn_600036,6.9
50,浙大网新,cn_600797,6.9
51,云南白药,cn_000538,6.8
52,爱美客,cn_300896,6.7
53,分众传媒,cn_002027,6.7
54,中兴通讯,cn_000063,6.6
55,国药股份,cn_600511,6.5
56,宝钢股份,cn_600019,6.5
57,中视传媒,cn_600088,6
58,福耀玻璃,cn_600660,6
59,宁波银行,cn_002142,6
60,贵州茅台,cn_600519,4.7
